GENRE,PAGES
Science Fiction,369
Science Fiction,476
Science Fiction,815
Comic Book,228
Comic Book,248
Fantasy,369
Fantasy,418
Fiction,407
Fiction,530
Fiction,622
Science Fiction,374
Science Fiction,360
Science Fiction,324
Science Fiction,327
Science Fiction,344
Science Fiction,599
Science Fiction,659
Science Fiction,613
Fantasy,364
Fantasy,331
Fantasy,356
Fantasy,432
Fantasy,417
Fantasy,480
Fantasy,560
Science Fiction,403
Science Fiction,378
Science Fiction,405
Fiction,341
Fiction,385
Fiction,479
Fiction,519
Fiction,603
Fiction,205
Horror,1153
Fiction,230
Fiction,307
Science Fiction,374
Science Fiction,391
Science Fiction,390
Science Fiction,305
Science Fiction,371
Science Fiction,369
Science Fiction,376
Science Fiction,225
Fantasy,662
Science Fiction,387
Science Fiction,452
Science Fiction,550
Science Fiction,823
Poetry,86
Poetry,125
Fiction,295
Science Fiction,468
Fiction,456
Fantasy,276
Fantasy,1031
Fiction,525
Fiction,212
Fiction,481
Science Fiction,232
Science Fiction,240
Science Fiction,304
Science Fiction,352
Science Fiction,367
Fiction,81
Horror,1038
Fiction,451
Fiction,482
Fiction,233
Fantasy,375
Fantasy,279
Fantasy,312
Fantasy,361
Fantasy,381
